Lactose,Whey central,Whey west,Whey east,NDPSR whey avg,CME whey avg,NDPSR NFDM,34p WPC,Nonfat west,Nonfat central east,Sweet cream buttermilk central,AA butter,Cheese 40 blocks,Cheese barrel,Delac
0.415,0.59,0.5725,0.58,0.5559,0.623,1.3845,1.16,1.535,1.51,1.315,1.7825,1.8251,1.9220937547668981,0.30904960045036733
0.415,0.595,0.58875,0.59,0.5596,0.648,1.4054,1.17,1.55,1.53,1.335,1.8405,1.8152,1.9119998864373775,0.24337199812050891
0.415,0.605,0.595,0.6025,0.5744,0.662,1.4382,1.195,1.56,1.535,1.335,1.8756,1.7968,1.825449575649735,0.17113813050798687
0.4125,0.6425,0.6225,0.625,0.5718,0.692,1.4873,1.2175,1.56,1.535,1.355,1.9599,1.7571,1.5646786396239671,0.11346734148464277
0.4125,0.6425,0.635,0.63,0.5865,0.7,1.4926,1.25625,1.56,1.5375,1.355,1.9931,1.7338,1.589738631185128,0.3590250264876148
0.405,0.65125,0.645,0.63125,0.609,0.69,1.5104,1.2775,1.565,1.535,1.365,2.0301,1.7539,1.5683231350535225,0.3590250264876148
0.405,0.65375,0.665,0.635,0.627,0.7035,1.5109,1.29,1.565,1.5475,1.375,2.0378,1.7894,1.667394480422395,0.3590250264876148
0.405,0.6625,0.67625,0.65,0.6307,0.716,1.5278,1.325,1.59125,1.59,1.42,2.0236,1.8526,1.7947582407838572,0.3590250264876148
0.405,0.675,0.71625,0.65125,0.6324,0.735,1.5521,1.3325,1.61,1.6225,1.425,2.0607,1.8767,1.8034129457240031,0.3590250264876148
0.405,0.6825,0.71625,0.6675,0.6572,0.75,1.5582,1.34625,1.625,1.62375,1.43,2.0643,1.9089,1.87031185293747,0.3590250264876148
0.29,0.34,0.34875,0.345,0.3341,0.3113,1.2359,0.9925,1.235,1.245,1.105,1.9628,1.9027,1.31495,0.5852844279561581
0.2975,0.34,0.34875,0.34375,0.3333,0.3295,1.2355,0.9925,1.25,1.245,1.1175,1.9815,1.8879,1.7341638598577533,0.38184175377016816
0.2975,0.345,0.35125,0.34375,0.326,0.3615,1.2334,1.00375,1.255,1.255,1.125,1.9259,1.8765,1.786162810816209,0.35095180996023356
0.3,0.35375,0.35625,0.34625,0.3342,0.3613,1.2427,1.00625,1.27,1.27,1.00625,1.9549,1.8887,1.776564726510137,0.3194463081667078
0.3,0.35375,0.35625,0.34625,0.3409,0.373,1.2474,1.00875,1.27,1.27,1.15,1.9009,1.8995,1.8179137292316945,0.33238120697827545
0.3025,0.355,0.365,0.35125,0.3528,0.373,1.2578,1.01125,1.25,1.26,1.115,1.8675,1.945,1.8012054661650243,0.27843608793631414
0.305,0.36,0.37875,0.36,0.3634,0.3895,1.2542,1.015,1.225,1.255,1.155,1.8561,1.9639,1.8258113834721423,0.2477149743664948
0.305,0.36375,0.375,0.3575,0.3654,0.3654,1.254,1.015,1.21,1.22,1.16,1.8257,1.9711,1.7312676472225104,0.29711875607526994
